,American,Delta,Southwest,US Airways,United,Virgin America
negative,1960,955,1186,2263,2633,181
neutral,463,723,664,381,697,171
positive,336,544,570,269,492,152
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
