,imbalanced ,balanced,"-@, http",-@ http contents,"-@, #, http","emoji, @, http","-#, hashtag*2"
unigram,90.55%,89.47%,89.39%,89.24%,89.38%,89.61%,89.65%
uni & bigram,91.19%,90.28%,90.20%,90.08%,90.20%,90.34%,90.36%
uni & bi & trigram,91.12%,90.12%,90.03%,90.08%,90.02%,90.16%,90.16%
tfidf,90.57%,89.74%,89.61%,89.24%,89.58%,89.86%,89.89%
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
